板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8
主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1
主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1
主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1
主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1
主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1
主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1
