序号,板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
1,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
2,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
3,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
4,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
5,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
6,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
7,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
8,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
9,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
10,主板,中兴通讯股份有限公司,中兴通讯,000063.SZ,制造业,广东省,深圳市,3912.2  
11,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
12,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
13,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
14,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
15,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
16,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
17,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
18,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
19,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
20,主板,中国石油化工股份有限公司,中国石化,600028.SH,采矿业,北京,北京市,3394.7  
21,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
22,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
23,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
24,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
25,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
26,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
27,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
28,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
29,主板,美的集团股份有限公司,美的集团,000333.SZ,制造业,广东省,佛山市,3128.0  
30,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
31,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
32,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
33,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
34,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
35,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
36,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
37,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
38,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
39,主板,珠海格力电器股份有限公司,格力电器,000651.SZ,制造业,广东省,珠海市,1850.9  
40,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
41,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
42,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
43,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
44,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
45,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
46,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
47,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
48,主板,中国石油天然气股份有限公司,中国石油,601857.SH,采矿业,北京,北京市,1713.8  
49,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
50,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
51,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
52,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
53,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
54,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
55,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
56,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
57,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
58,主板,京东方科技集团股份有限公司,京东方A,000725.SZ,制造业,北京,北京市,1705.1  
59,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
60,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
61,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
62,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
63,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
64,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
65,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
66,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
67,主板,中国冶金科工股份有限公司,中国中冶,601618.SH,建筑业,北京,北京市,1496.5  
68,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
69,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
70,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
71,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
72,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
73,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
74,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
75,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
76,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
77,中小企业板,比亚迪股份有限公司,比亚迪,002594.SZ,制造业,广东省,深圳市,1469.1  
78,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
79,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
80,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
81,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
82,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
83,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
84,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
85,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
86,主板,TCL集团股份有限公司,TCL集团,000100.SZ,制造业,广东省,惠州市,1201.4  
87,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
88,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
89,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
90,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
91,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
92,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
93,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
94,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
95,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
96,主板,安徽江淮汽车集团股份有限公司,江淮汽车,600418.SH,制造业,安徽省,合肥市,1193.1  
97,主板,宝山钢铁股份有限公司,宝钢股份,600019.SH,制造业,上海,上海市,991.3  
98,主板,宝山钢铁股份有限公司,宝钢股份,600019.SH,制造业,上海,上海市,991.3  
