Province,Year,x,z,_ID
贵州省,2005,0.212,Western,240
辽宁省,2005,0.2167,Eastern,276
安徽省,2005,0.2309,Central,179
贵州省,2005,0.2526,Western,34
山西省,2005,0.2594,Central,71
山西省,2005,0.2608,Central,117
宁夏回族自治区,2005,0.2643,Western,10
江西省,2005,0.2699,Central,129
青海省,2005,0.2739,Western,236
黑龙江省,2017,0.2757,Central,291
河北省,2005,0.2765,Eastern,111
黑龙江省,2018,0.2774,Central,291
甘肃省,2012,0.2783,Western,102
安徽省,2005,0.2787,Central,178
江西省,2007,0.2842,Central,129
陕西省,2005,0.2921,Western,61
河南省,2005,0.2937,Central,290
四川省,2009,0.2961,Western,104
广西壮族自治区,2005,0.297,Eastern,204
四川省,2005,0.2986,Western,87
甘肃省,2018,0.3005,Western,102
黑龙江省,2019,0.3017,Central,291
甘肃省,2017,0.3018,Western,102
四川省,2005,0.3025,Western,104
山西省,2005,0.3038,Central,275
湖北省,2010,0.3071,Central,295
甘肃省,2011,0.3079,Western,102
甘肃省,2015,0.3088,Western,102
江西省,2008,0.311,Central,129
山西省,2005,0.3171,Central,137
四川省,2005,0.3204,Western,21
黑龙江省,2005,0.321,Central,1
辽宁省,2005,0.3211,Eastern,230
辽宁省,2005,0.3233,Eastern,142
黑龙江省,2010,0.3249,Central,291
江西省,2005,0.3252,Central,22
四川省,2010,0.326,Western,104
甘肃省,2019,0.3272,Western,102
辽宁省,2005,0.3289,Eastern,143
湖北省,2005,0.3294,Central,260
四川省,2008,0.3327,Western,104
四川省,2005,0.3333,Western,127
安徽省,2011,0.3333,Central,179
贵州省,2007,0.336,Western,240
甘肃省,2016,0.3379,Western,102
安徽省,2007,0.3393,Central,179
贵州省,2006,0.3402,Western,240
陕西省,2019,0.3422,Western,268
甘肃省,2018,0.3454,Western,281
宁夏回族自治区,2012,0.3477,Western,10
重庆市,2005,0.3481,Western,262
河南省,2005,0.3493,Central,5
江西省,2005,0.3493,Central,139
吉林省,2005,0.351,Central,202
黑龙江省,2011,0.3521,Central,291
甘肃省,2005,0.3531,Western,68
吉林省,2019,0.3579,Central,201
河南省,2005,0.3586,Central,84
四川省,2007,0.3586,Western,104
山西省,2005,0.3596,Central,248
山西省,2015,0.36,Central,117
甘肃省,2017,0.3606,Western,281
河南省,2005,0.3615,Central,103
陕西省,2018,0.3616,Western,268
辽宁省,2005,0.3622,Eastern,124
山西省,2014,0.3623,Central,71
安徽省,2005,0.3625,Central,269
陕西省,2005,0.3661,Western,159
陕西省,2005,0.3664,Western,268
宁夏回族自治区,2006,0.3667,Western,10
广西壮族自治区,2009,0.367,Eastern,241
广西壮族自治区,2011,0.3677,Eastern,241
广西壮族自治区,2009,0.3679,Eastern,204
山西省,2010,0.3705,Central,71
甘肃省,2016,0.3721,Western,281
甘肃省,2014,0.3722,Western,102
山西省,2009,0.3735,Central,71
黑龙江省,2009,0.3747,Central,291
安徽省,2005,0.3791,Central,163
四川省,2006,0.38,Western,104
湖北省,2005,0.3808,Central,295
贵州省,2008,0.381,Western,240
安徽省,2010,0.3825,Central,179
山西省,2016,0.3829,Central,71
河南省,2005,0.3835,Central,196
