_ID,city_label,longitude,latitude,geff2005,geff2006,geff2007,geff2008,geff2009,geff2010,geff2011,geff2012,geff2013,geff2014,geff2015,geff2016,geff2017,geff2018,geff2019
1,七台河市,131.0031,45.7717,0.3210,0.4714,0.4486,0.4523,0.4490,0.4069,0.4429,0.5585,0.4229,0.6359,0.5331,0.5902,0.5160,0.4726,0.4723
2,三亚市,109.5119,18.2528,0.6014,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6647
3,三明市,117.6387,26.2634,0.4919,0.6420,0.5644,0.5508,0.5461,0.6800,0.6407,0.7556,1.0000,1.0000,1.0000,0.8085,0.9101,0.8872,0.9841
5,三门峡市,111.2001,34.7725,0.3493,0.6491,0.6791,0.6244,0.5711,0.6169,0.5244,0.5667,0.6101,0.5939,0.5659,0.5066,0.6550,0.7062,0.7058
6,上海市,121.4737,31.2304,0.6686,0.8246,0.8074,0.7915,0.8560,0.9110,0.7789,0.7571,0.9151,0.8398,0.8645,0.9401,0.9989,0.9083,1.0000
7,上饶市,117.9434,28.4549,0.4981,0.5525,0.5305,0.5972,0.7237,0.7607,0.9045,0.8554,0.9220,0.7180,0.6061,0.6169,0.6142,0.6115,0.6544
8,东莞市,113.7518,23.0205,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8193,0.9204,0.9017,0.8945,0.4866,0.3998,0.5358
9,东营市,118.6748,37.4348,0.7637,0.9565,0.9291,0.9336,0.8251,0.8263,0.7713,0.7448,0.8970,0.9540,0.9723,0.8075,0.9810,1.0000,0.7861
10,中卫市,105.1969,37.5000,0.2643,0.3667,0.4355,0.5792,0.5129,1.0000,1.0000,0.3477,0.7168,0.7712,1.0000,0.6093,1.0000,0.6098,0.6934
11,中山市,113.3928,22.5176,0.9567,0.9654,0.8778,0.8728,0.8556,0.7706,0.9667,0.9308,0.7139,0.7420,0.7567,0.7035,0.9097,0.6514,0.5888
12,临汾市,111.5190,36.0880,0.4624,0.6984,0.6868,0.6766,0.6019,0.6302,0.6538,0.5500,0.5936,0.5485,0.4498,0.5812,0.5917,0.5329,0.5774
13,临沂市,118.3564,35.1047,0.6795,0.7507,0.7437,0.7598,0.6952,0.6844,0.6495,0.5919,0.5518,0.5682,0.5777,0.5255,0.5571,0.5626,0.6276
14,临沧市,100.0796,23.8776,1.0000,1.0000,1.0000,0.5713,0.8498,0.6308,0.4261,0.5325,0.5789,0.5217,0.7380,0.4736,0.5486,0.5108,0.6489
15,丹东市,124.3547,40.0005,0.5648,0.6782,0.6541,0.6250,0.5509,0.6045,0.5388,0.5827,0.5941,0.5873,0.6844,0.7256,0.6946,0.7812,0.6828
16,丽水市,119.9228,28.4676,0.8112,0.9450,0.8564,0.8167,0.7888,0.8644,0.7743,0.8655,0.9518,0.9999,0.9277,0.8298,0.7818,0.7737,0.8231
17,丽江市,100.2278,26.8550,0.9179,0.7553,0.6137,0.5662,0.4832,0.5358,0.4673,0.5550,1.0000,0.6469,0.7664,0.7962,0.5980,0.5748,0.6835
18,乌兰察布市,113.1326,40.9948,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7009,0.6651,0.6499,0.8858,0.7703,0.8641,0.8014,0.7932,0.7410
19,乌海市,106.7942,39.6554,0.7401,1.0000,1.0000,1.0000,1.0000,0.6569,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
